orderer_id,customer_id,orderer_name,orderer_phone,orderer_email,orderer_type_bed,orderer_special_requirements,orderer_own_require,orderer_bill_require,created_at,updated_at
31,15,Nguyễn Văn Vĩnh Nguyên,839519415,nguyenvy1470@gmail.com,1,1,Không Có,1,2024-05-05 12:56:02,
32,15,Nguyễn Văn Vĩnh Nguyên,839519415,nguyenvy1470@gmail.com,1,2,Không Có,1,2024-05-05 13:13:33,
33,3,Nhân,987654321,nhanlk.21it@vku.udn.vn,1,0,Không Có,1,2024-05-06 08:33:38,
34,3,Nhân,987654321,nhanlk.21it@vku.udn.vn,2,3,Không Có,1,2024-05-06 10:05:11,
51,15,Nguyễn Văn Vĩnh Nguyên,839519415,nguyenvy1470@gmail.com,2,0,Không có,1,2024-05-21 17:03:33,
52,17,Nguyên Vĩnh,839519415,nguyennvv.21it@vku.udn.vn,1,0,Không có,1,2024-06-04 11:33:55,
57,17,Nguyên Vĩnh,839519415,nguyennvv.21it@vku.udn.vn,1,0,Không có,1,2024-06-04 12:11:19,
58,15,Nguyễn Văn Vĩnh Nguyên,839519415,nguyenvy1470@gmail.com,2,3,Không Có,1,2024-06-04 12:41:11,
59,15,Nguyễn Văn Vĩnh Nguyên,839519415,nguyenvy1470@gmail.com,1,3,Không Có,1,2024-06-04 12:54:36,
60,3,Nhân Kha Le,987654321,nhanlk.21it@vku.udn.vn,2,0,Không có,1,2024-10-05 03:41:28,
61,15,Nguyễn Văn Vĩnh Nguyen,,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:11:01,2024-10-29 17:32:44
62,15,Nguyễn Văn Vĩnh Nguyen,,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:11:28,2024-10-29 17:32:46
63,15,Nguyễn Văn Vĩnh Nguyen,,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:12:04,2024-10-29 17:32:48
64,15,Nguyễn Văn Vĩnh Nguyen,,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:12:41,2024-10-29 17:32:49
65,15,Nguyễn Văn Vĩnh Nguyen,,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:13:02,2024-10-29 17:32:51
66,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:48:34,2024-10-29 17:32:54
67,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:48:53,2024-10-29 17:32:57
68,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:49:47,2024-10-29 17:32:59
69,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 15:56:20,2024-10-29 17:33:04
70,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 16:00:41,2024-10-29 17:33:06
71,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 16:02:38,2024-10-29 17:32:41
72,15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,1,,Không có,1,2024-10-28 16:03:00,2024-10-29 17:32:38
