customer_id,customer_name,customer_phone,customer_email,customer_password,customer_status,customer_ip,customer_located,customer_device,created_at,updated_at,deleted_at
3,Nhân Kha Le,987654321,nhanlk.21it@vku.udn.vn,202cb962ac59075b964b07152d234b70,1,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-25 10:59:34,2024-05-15 07:50:24,NULL
5,Nhân,987654321,nhan@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:17:19,2022-10-27 03:28:32,NULL
6,Sếp Nhuận,987654321,nhuan@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:17:56,2022-10-25 13:24:14,2022-10-25 06:24:14
8,Sếp Nhuận Đz,987654321,nhuan123321@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:18:19,2022-10-25 12:28:21,NULL
9, Nhuận Đz,987654321,nhuandz123321@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:18:32,2022-10-25 12:49:20,NULL
10, Nhuận Báo,987654321,nhuandz1221@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:18:41,2022-10-25 12:27:57,NULL
11, Nhuận Báo Thủ,987654321,nhuantrumcode@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:18:57,2022-10-27 03:25:06,NULL
12, Nhuận Báo Thủ,987654321,nhuanganhteam@vku.udn.vn\r\n,e10adc3949ba59abbe56e057f20f883e\r\n,1,127.0.0.1,QB,Win,2022-10-25 12:19:12,2022-10-25 13:26:28,2022-10-25 06:26:28
13,Nhân Lê Khả,NULL,nhanlekha@gmail.com,NULL,1,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-23 07:53:13,2022-12-23 07:53:13,NULL
14,Nhuận Báo Thủ Cute,987654321,phunhuanhuynh2003@gmail.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-24 13:12:19,2022-12-24 13:12:19,NULL
15,Nguyễn Văn Vĩnh Nguyen,839519415,nguyenvy1470@gmail.com,e10adc3949ba59abbe56e057f20f883e,1,::1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",2024-05-05 12:37:09,2025-10-04 10:22:42,NULL
16,Vanminh Tran,NULL,vanminh22199@gmail.com,NULL,0,NULL,NULL,NULL,2024-05-19 10:03:35,2024-05-19 10:03:35,NULL
17,Nguyên Vĩnh,839519415,nguyennvv.21it@vku.udn.vn,NULL,0,NULL,NULL,NULL,2024-06-01 17:18:13,2024-06-01 17:19:11,NULL
100,Phan Hải Cường,560084473,customer100@example.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Đà Nẵng,Mozilla/5.0,2024-05-28 17:00:00,2024-05-28 17:00:00,NULL
101,Trần Thanh Lan,303365820,customer101@example.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Đà Nẵng,Mozilla/5.0,2024-10-12 17:00:00,2024-10-12 17:00:00,NULL
102,Phan Quốc Nga,749167122,customer102@example.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Đà Nẵng,Mozilla/5.0,2024-09-12 17:00:00,2024-09-12 17:00:00,NULL
